Minor planet designation,Rotation period(hours),Δmag,Quality(U),Orbit or family,Spectral type,Diameter(km),Abs. mag(H),Refs,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,movie_name,category,run_time,genre,imdb_rating,votes,gross_total,rating,timestamp,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,Buying_Price,Maintenance_Price,No_of_Doors,Person_Capacity,Size_of_Luggage,Safety,Car_Acceptability,updateTime,per capita income,median household income,median family income,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,Season1Date,Season1Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Honey,Jams,Maple,Meat,PetFood,Tofu,WildHarvested,updateTime,Order Date,Product,Product_ean,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin,Cat_Sort,Category,varShort,varLong,Map,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,brand,model,offers/priceCurrency,features/0/description,country,ISO3,continent,Region 1,markup_GME,alpha,Q,II,VA,LAB,K,Subsidies,Taxes,Place, Latitude, Longitude, Country, Continent, Magnitude,title,published_at,view_count,like_count,comment_count,text,label,url,name,Price,listedOn,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
(16819) 1997 VW,274.9,0.5,2,MBA (middle),S,9.09,13.32,LCDB  ·  List,LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,1.65,45.55,36.84,8670163500,1168400000,3.4331481,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT,Die Hard,R,132 min,"Action, Thriller",8.2,"887,967",$83.01M,3,835356031,25921089,3058,2,3384.447472,-326.4474719,3056,0.007715725,-1.259389495,-0.096455175,med,high,4,more,big,low,unacc,7/26/2018 16:26,"$44,345 ","$97,242 ","$113,538 ",2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,,,,194 second street,Amherst,Amherst,Virginia,05/05/2016 to 09/01/2016,Thu: 3:30 PM-6:30 PM;,-79.048576,37.583309,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,03/04/2016 13:51,20/01/2019 17:26,AAA Batteries (4-pack),8.11E+12,"920 Adams St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99,4,CntyClass,Type_2015_Nonspecialized_NO,"Nonspecialized counties, 2015 edition",n,-2.867,-15.182,37196,-14.655,-0.527,0.014,-5.49,-13.22,3,0.072513962,Dell,XPS9530-7718SLV-PUS,USD,Windows 11 has all the ,British Virgin Islands,VGB,North America,Caribbean,1.483616,0.96127862,12837.87782,6044.920843,6792.95698,881.166,716.3275,-50.34034,135.46612,Freetown,8.4855,-13.2364, Sierra Leone, Africa,5.6,My Happinessâ™¥ï¸ |  Wild Cookbook,2024-02-10T06:55:00Z,8407979,538703,5543,i feel like a real fan not that i was ever a fake fan,0,https://www.etsy.com/listing/571164757/personalized-kids-director-chair-unique?click_key=70d7f6bad4bef59ca9f1b935a009366dc3acc72e%3A571164757&click_sum=1dd4dc32&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-5-2&organic_search_click=1&sts=1,Personalized Kid's Director Chair. Unique kid's gift. Kid's booster seat. Outdoor children's furniture. Made in the USA. Purple canvas.,$34.75+,"Feb 5, 2024",HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹37,990"
10404 McCall,274.9,0.84,2,MBA (outer),C,7.05,14.49,LCDB  ·  List,ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905,0,1.2085556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,Gone with the Wind,Passed,238 min,"Drama, Romance, War",8.2,"317,621",$198.68M,3,835355749,25921089,3218,2,3461.447472,-243.4474719,3216,0.007715725,-0.939186899,-0.070331118,low,vhigh,5more,more,big,low,unacc,7/26/2018 16:22,"$43,634 ","$101,591 ","$112,930 ",2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,01/01/2018 to 05/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,-84.18103,39.762592,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,7/26/2018 16:26,01/01/2019 22:00,AAA Batteries (4-pack),9.69E+12,"293 Hill St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,4,CntyClass,LowEducation2000,"Low education, 2000",n,0.148,0.492,71513,-0.181,0.673,0.701,10.33,4.18,4.33,3.237432328,Lenovo,82YN0002US,USD,Windows 11 brings back the Start Menu fr,Brunei,BRN,Asia,South-eastern Asia,1.4851382,0.88353676,141014.6864,76620.36813,64394.3183,9232.67,6747.861,-779.261,1213.1203,Victoria,-4.6205,55.4552, Seychelles, Africa,5.3,Huggy Wuggy | Poppy Playtime Chapter 3 | Timelapse Build,2024-02-10T13:07:15Z,8285755,238964,2023,i feel like i am actually getting something useful out of it,1,https://www.etsy.com/listing/1583397916/kids-wardrobe-and-clothing-rack-set-kids?click_key=acf16dfffd270740a73097bf9a9f7a29731549fd%3A1583397916&click_sum=409e5d56&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-5-3&pro=1&frs=1&etp=1&sts=1,"Kids Wardrobe and Clothing Rack Set, Kids and Baby Furniture, Nursery Decor",$99.00+,"Dec 16, 2023",DELL,Inspiron 3520,Core i3,Windows 11 Home,512 GB,8 GB,96.52 cm (38 cm),No,"â‚¹36,480"
2870 Haupt,274,0.6,3−,Erigone,C,14.64,12.9,LCDB  ·  List,GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0,22.27,1198,824.3,7.34E+11,34217000000,6.801692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL,Taxi Driver,R,114 min,"Crime, Drama",8.2,"836,871",$28.26M,4,835355532,25921089,3197,2,3443.247472,-246.2474719,3195,0.007715725,-0.949988914,-0.071516054,low,vhigh,5more,more,big,med,acc,1/16/2015 18:38,"$43,444 ","$68,078 ","$83,558 ",3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. Illinois ave. ,Morris,Grundy,Illinois,05/12/2018 to 10/13/2018,Sat: 8:00 AM-2:00 PM;,-88.425186,41.356384,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,7/26/2018 16:22,09/01/2019 18:14,USB-C Charging Cable,3.83E+12,"840 Lincoln St, Atlanta, GA 30301",1,11.95,5.975,11.95,5.975,5,Income,Deep_Pov_All,"Deep poverty, 2015-19",Y,0.244,2.083,81209,0.043,2.04,0.479,20.39,15.6,5.78,0.088422007,Lenovo,82VB0002US,USD,Windows 11 brings ba,Bulgaria,BGR,Europe,Eastern Europe,1.07122,0.94163162,2635686.28,2359282.587,276403.6934,32432.3,22969.238,-8404.019,663.8144,Niamey,13.5112,2.1113, Niger, Africa,4.8,0% Respect Moments. #2,2024-02-05T14:00:46Z,7700086,223130,450,i was able to overcome this anxiousness and feel peaceful as i quickly jotted down all the answers to todays homework,1,https://www.etsy.com/listing/1529057229/baby-busy-board1st-birthday-gifttoddler?click_key=eb84e6d0d9032f7fad4093302c7cce979178fae2%3A1529057229&click_sum=8ffae614&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-5-2&pro=1&frs=1,"Baby Busy Board,1st Birthday Gift,Toddler Busy Board,Personalized Busy Board,Busy Board,Montessori Busy Board,Busy Puzzles Kids,Baby Gift",$90.00+,"Jan 29, 2024",Lenovo,15IAU7,Core i3,Windows 11 Home,512 GB,8 GB,100.63 cm (39.62 cm),No,"â‚¹35,990"
2554 Skiff,273,0.9,2,Flora,S,7.82,12.7,LCDB  ·  List,GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0,22.27,1186.89,803.1903,7.29E+11,32714000000,6.772653,4.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG,Pulp Fiction,R,154 min,"Crime, Drama",8.9,"2,058,574",$107.93M,3,835356016,25921089,3204,15,3528.247472,-324.2474719,3189,0.057867939,-1.250902197,-0.091900433,low,vhigh,5more,more,big,high,acc,07/12/2017 13:42,"$43,347 ","$83,794 ","$102,222 ",30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,01/18/2015 to 01/05/2020,Sun: 9:00 AM-1:00 PM;,-86.002754,30.279016,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,1/16/2015 18:38,16/01/2019 12:35,AAA Batteries (4-pack),2.89E+12,"291 Lincoln St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,5,Income,Poverty_Rate_ACS,"Poverty rate, 2015-19",y,0.298,-4.465,36633,-3.701,-0.764,0,-0.31,-3.97,1.8,0.318330072,Lenovo,82YN004PUS,USD,Windows 11 brin,Burkina Faso,BFA,Africa,Western Africa,2.2284331,0.95878273,150799.2045,58073.45701,92725.74748,5717.327,0.408725,-81.80769,71.64744,Bamako,12.642,-7.9988, Mali, Africa,5.3,This Was The SCARIEST Moment Of MY LIFE! #shorts,2024-02-08T20:25:07Z,7731986,168268,964,when,3,https://www.etsy.com/listing/1543904510/personalized-embroidered-baby-and?click_key=e4127088e8cbc7adc223130ad2b3241909cc0ed8%3A1543904510&click_sum=c1b40ed9&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-5-1&frs=1&bes=1&sts=1,"Personalized Embroidered Baby and Toddler Sweater, Embroidered Oversized Chunky Kids Sweater, Baby Name Announcement, Baby Shower Gift",$47.00,"Feb 7, 2024",HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹46,990"
299 Thora,272.9,0.5,3−,MBA (inner),S,17.11,11.3,LCDB  ·  List,MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,1.27E+11,10773000000,4.945682,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,The Bridge on the River Kwai,PG,161 min,"Adventure, Drama, War",8.2,"222,540",$44.91M,5,835355395,25921089,3332,38,3550.247472,-218.2474719,3294,0.146598779,-0.841968761,-0.061473876,low,high,3,2,med,med,unacc,7/26/2018 16:47,"$42,861 ","$82,090 ","$104,032 ",31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt,,https://www.instagram.com/31mainfarmersmarket ,1928 Pennington Road,Ewing,Mercer,New Jersey,06/11/2017 to 10/29/2017,Sun: 10:00 AM-2:00 PM;,-74.783287,40.268253,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,07/12/2017 13:42,11/01/2019 23:33,Bose SoundSport Headphones,3.42E+12,"640 Spruce St, Boston, MA 02215",1,99.99,49.995,99.99,49.995,5,Income,PCTPOV017,"Poverty rate for children age 0-17, 2019",n,-0.334,-2.097,102268,-0.284,-1.813,0.252,0.94,1.65,-0.65,1.100342738,HP,15-fe0013dx,USD,From a rejuvenated Start,Burundi,BDI,Africa,Eastern Africa,3.4794114,0.92887664,76149.19866,15643.84223,60505.35643,8838.77,6258.396,-308.19707,1124.3475,Monrovia,6.3082,-10.8033, Liberia, Africa,4.7,Mansi ne kat liya ðŸ¥²ðŸ˜­ #shorts #funny #viral #prank,2024-02-16T02:00:08Z,8353197,83266,44,i have been successful in providing some peace of mind i feel content,1,https://www.etsy.com/listing/1047101265/teepee-with-frills-and-mat-circus-gift?click_key=95ce0da005eb19954ee676d56f0851921546398f%3A1047101265&click_sum=bd54948c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-5-4&pro=1,"Teepee with Frills and mat ""Circus"", Gift for kids, Teepee tent for kids, High quality, Handmade, Kids room, Baby room",$268.98,"Nov 15, 2023",HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"â‚¹53,990"
20796 Philipmunoz,272.8,0.46,2,Koronis,S,3.36,14.53,LCDB  ·  List,AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0,6.16,1498,812.5,6.86E+11,16132000000,3.927053,24.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,The Lion King,G,88 min,"Animation, Adventure, Drama",8.5,"1,060,900",$422.78M,4,835355441,25921089,3353,60,3505.447472,-152.4474719,3293,0.231471756,-0.588121401,-0.043488734,low,high,3,2,med,high,unacc,3/24/2015 14:28,"$42,749 ","$84,526 ","$105,971 ",32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,-76.611,39.327202,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,7/26/2018 16:47,03/01/2019 9:46,Apple Airpods Headphones,8.60E+12,"937 Highland St, New York City, NY 10001",1,150,97.5,150,52.5,5,Income,Num_inPOV_0_17_ACS,"Number of people age 0-17 in poverty, 2015-19",n,-0.87,-5.38,16302,-2.316,-3.065,0.133,-6.78,-4.71,-1.66,0.291702679,LG,17Z90R-K.ADS9U1,USD,Windows 11,Cambodia,KHM,Asia,South-eastern Asia,2.0642259,0.88353676,179994.2058,67950.86543,112043.3404,16071.43,11630.887,-504.006,2090.2564,Ouagadougou,12.3732,-1.5145, Burkina Faso, Africa,5.3,Kasi Saban Pena ( à¶šà·à·ƒà·’ à·ƒà¶¶à¶±à·Š à¶´à·™à¶« ) - Sarith & Surith | Pasan Liyanage ( Official Promo Track ),2024-01-05T12:16:41Z,7128817,131957,4789,i guess that feeling is what im really getting all nostalgic about,2,https://www.etsy.com/listing/1146920933/pacifier-clip-personalized-pacifier?click_key=8e540704eb6be040a30a8d62199eed299873e8e7%3A1146920933&click_sum=76c259b7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-4&sts=1,"Pacifier Clip Personalized, Pacifier Holder, Binky Clip, Baby boy gift, Baby girl gift, Coming Home gift, Rattle Ring Personalized",$14.99+,"Feb 11, 2024",HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"â‚¹38,990"
3945 Gerasimenko,272.3,0.68,2,MBA (outer),C,14.8,12.88,LCDB  ·  List,AEE,Ameren Corp,Utilities,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906,2298000000,2.693119,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,North by Northwest,Approved,136 min,"Action, Adventure, Mystery",8.3,"330,232",$13.28M,3,835355493,25921089,3398,92,3527.847472,-129.8474719,3306,0.35492336,-0.500933707,-0.03680643,low,low,5more,more,small,med,acc,6/26/2017 8:19,"$42,462 ","$83,336 ","$95,879 ",33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,06/01/2015 to 11/01/2015,Thu: 2:00 PM-6:00 PM;,-75.187164,39.988804,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,3/24/2015 14:28,01/01/2019 16:52,Apple Airpods Headphones,8.20E+12,"853 Ridge St, Boston, MA 02215",1,150,97.5,150,52.5,6,Veterans,LFPVetsRate,"Labor force participation rate for veterans age 18 to 64, 2015-19",y,0.204,-1.21,31362,-2.29,1.08,1.484,1.54,-2.38,2.46,4.745214775,Microsoft,QIL-00052,USD,Find the relevant information and ideas you,Cameroon,CMR,Africa,Middle Africa,2.2527401,1.0543656,317267.341,172520.3962,144746.9448,20457.35,15165.566,-1333.8293,2727.9821,Southern Chile,-39.8232,-73.072, Chile, South America,4.8,Ð•Ð³Ð¾ Ð¿Ð¾Ð¹Ð¼Ð°Ð»Ð¸ Ð½Ð° ÑÑŠÐµÐ¼ÐºÐµ ÑÑ‚ÑŽÐ°Ñ€Ð´ÐµÑÑÑ‹ðŸ¤¯,2024-02-02T09:36:17Z,7059154,368656,1794,i needed to show me that i really am integrating and making connections here since i had been feeling pretty homesick the week before,0,https://www.etsy.com/listing/1402352737/babie-feet-heart-svg-newborn-heart-feet?click_key=b16cef6743ce4ec18206831c5cc1f6ce65a604c6%3A1402352737&click_sum=340f92d0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-6-2&organic_search_click=1&dd=1,"Babie feet heart svg | newborn heart feet svg | Newborn Foot Cricut Silhouette | Vector Cut File, New Baby Svg",$1.99,"Dec 17, 2023",HP,e0333ax,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 Inch),No,"â‚¹88,407"
2576 Yesenin,272,0.34,2,MBA (outer),C,25.86,11.66,LCDB  ·  List,AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL,Rear Window,PG,112 min,"Mystery, Thriller",8.5,"493,926",$36.76M,3,835355441,25921089,3478,108,3573.647472,-95.64747191,3370,0.416649162,-0.368994805,-0.026764663,low,low,5more,more,small,high,good,07/06/2016 17:19,"$42,400 ","$97,690 ","$112,874 ",38th & Meridian Farmer's Market ,,,,,,3808 N Meridian St,Indianapolis,Marion,Indiana,06/01/2017 to 09/21/2017,Thu: 4:00 PM-6:30 PM;,-86.157547,39.825558,Y,N,Y,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,6/26/2017 8:19,02/01/2019 22:21,27in 4K Gaming Monitor,5.42E+12,"834 4th St, Dallas, TX 75001",1,389.99,128.6967,389.99,261.2933,6,Veterans,HighSchOnlyVetsPct,"Percent of veterans 25 and over with a high school diploma or GED only, 2015-19",y,-0.133,-1.89,26271,0.082,-1.972,-0.246,3.98,1.72,-0.4,0.304972805,Microsoft,QIL-00018,USD,Find the relevant information and,Canada,CAN,North America,Northern America,1.4700196,1.0269846,40462415.85,22841642.55,17620773.3,6275563,1584096,-0.102041,112675.4,Montevideo,-34.9043,-56.1835, Uruguay, South America,5.3,"Hana likes to eat grapes, watermelon, apples, papaya, mango, and sausages ðŸ˜œ #shorts by Hana",2024-02-05T12:11:44Z,7088875,88859,36,i feel disheartened to message him and yet does not get a reply or any news from him,0,https://www.etsy.com/listing/837566825/fox-woodland-critter-balloon-3-feet-35?click_key=b6b48159c800ff7c41f20755504f6ddd6451f263%3A837566825&click_sum=d73402e4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-6-1&organic_search_click=1&sts=1,"Fox Woodland Critter Balloon (3 Feet), 35 Inch Giant Mylar Foil Woodland Baby Shower Animal Balloons, Zoo Birthday Party Balloons",$8.95,"Jan 20, 2024",MSI,Modern 14 C7M-063IN,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"â‚¹33,990"
(24466) 2000 SC156,271.9,0.63,2,MBA (outer),C,9.15,13.92,LCDB  ·  List,AEP,American Electric Power,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517,4450800000,2.7489934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,LÃ©on: The Professional,R,110 min,"Action, Crime, Drama",8.5,"1,164,087",$19.50M,3,835355710,25921089,3310,96,3597.447472,-287.4474719,3214,0.37035481,-1.108932854,-0.079903174,low,low,5more,more,med,low,unacc,06/08/2015 9:22,"$42,255 ","$47,083 ","$68,438 ",39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,06/09/2016 to 08/18/2016,Thu: 4:00 PM-9:00 PM;,-119.75496,39.534775,Y,Y,Y,Y,N,-,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,07/06/2016 17:19,09/01/2019 8:28,Apple Airpods Headphones,4.26E+12,"649 Sunset St, Los Angeles, CA 90001",1,150,97.5,150,52.5,6,Veterans,HispanicVetsPct,"Percent of veterans that are Hispanic or Latino, 2015-19",y,-1.194,-9.788,8111,-8.931,-0.856,0.011,-9.31,-14.16,1.85,0.065643304,HP,14-dq0055dx,USD,Experience the most secure Windows ev,Cape Verde,CPV,Africa,Western Africa,3.2679038,0.95878273,47744.10459,6908.374057,40835.73053,6214.51,4164.024,-72.12847,746.925,Yuzhno-Sakhalinsk,46.957,142.7378, Russia, Asia,4.8,what girls think gymbros are like vs what they are really likeðŸ˜³... #shorts #shortsfeed #shortsvideo,2024-02-03T05:51:39Z,6694897,313253,3111,i feel assured that i m doing so much right and that i am not alone,1,https://www.etsy.com/listing/1470636680/busy-board-for-toddler-activity-board?click_key=0c6f94b29c07d851834230775f5d3fa7943780cb%3A1470636680&click_sum=23218c48&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-3&pro=1&frs=1&bes=1&sts=1,"Busy Board for Toddler, Activity Board, Toddler Gifts, Montessori Board, Wooden Sensory Board, 1st Birthday Baby Boy Gift, Baby Girl Toys",$69.98+,"Feb 10, 2024",HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"â‚¹66,999"
9323 Hirohisasato,269.2,0.53,2,Erigone,C,5.23,15.14,LCDB  ·  List,AXP,American Express Co,Financials,88.34,15,1.4955667,2.9,102.385,75.51,80410990000,0,2.273575,3.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,Back to the Future,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,"1,208,582",$210.61M,3,835355511,25921089,3283,135,3605.447472,-322.4474719,3148,0.520811452,-1.243958045,-0.089433413,low,low,5more,more,med,med,good,3/24/2015 15:11,"$42,210 ","$86,050 ","$105,278 ",441 Ministries Farm Stand,,,,,,441 Parsells Avenue,Rochester,Monroe,New York,,Tue: 3:00 PM-7:00 PM;,-77.566605,43.165833,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,06/08/2015 9:22,14/01/2019 10:13,AA Batteries (4-pack),7.30E+12,"611 Elm St, New York City, NY 10001",1,3.84,1.92,3.84,1.92,6,Veterans,CivPop18ONum,"Civilian population 18 years and over, 2015-19",n,-0.664,-6.948,14651,-7.704,0.756,-0.07,-8.29,-4.11,1.63,0.19511927,Lenovo,82Y30004US,USD,Windows 11 brings back the Start Menu,Cayman Islands,CYM,North America,Caribbean,1.2395724,0.96127862,37833.07005,33268.68353,4564.38652,959.319,708.4994,-2264.9148,127.44732,Honiara,-9.4371,160.0393, Solomon Islands, Oceania,4.8,CRISTIANO RONALDO EVOLUTION #cristianoronaldo #siuuuuu #shorts,2024-02-08T20:00:24Z,7094500,66861,49,i was less intelligent and could not really feel through my music was not passionate about the little things im not sure i would go for it,2,https://www.etsy.com/listing/1310709987/personalized-hand-embroidered-baby-and?click_key=60850cf278cab1a98987ce1c6d4db43450dac7f6%3A1310709987&click_sum=7ac2ddb7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-2&bes=1,Personalized Hand Embroidered Baby and Toddler Sweaters,$30.00+,"Feb 10, 2024",HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹49,990"
(42195) 2001 DO17,268.8,0.92,2,MBA (outer),C,12.11,13.31,LCDB  ·  List,AIG,"American International Group, Inc.",Financials,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164,0,1.4686536,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,Citizen Kane,PG,119 min,"Drama, Mystery",8.3,"444,359",$1.59M,3,835355664,25921089,3290,110,3539.647472,-249.6474719,3180,0.424364887,-0.963105647,-0.070528908,low,low,5more,more,med,high,vgood,2011,"$42,041 ","$75,457 ","$92,262 ",4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,06/01/2015 to 11/22/2015,Tue: 1:00 PM-5:00 PM;,-75.138657,39.991749,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,3/24/2015 15:11,03/01/2019 20:05,27in 4K Gaming Monitor,9.31E+12,"812 Jefferson St, Los Angeles, CA 90001",1,389.99,128.6967,389.99,261.2933,6,Veterans,CivPopVets18to64Num,"Civilian population age 18 to 64 that are veterans, 2015-19",n,0.186,-0.526,17205,1.636,-2.162,0.156,6.08,3.8,-0.89,0.624196806,HP,16-h1023dx,USD,"From a rejuvenated Start menu, to new ways t",Central African Republic,CAF,Africa,Middle Africa,3.1528535,1.0543656,76751.87359,15192.82103,61559.05256,8855.7,6377.101,-205.17654,1146.4831,Ashgabat,37.987,58.3297, Turkmenistan, Asia,5,Dark lipstick/ white chocolate lipstick BattleðŸ«ðŸ’„ #chocolatehacks #lipstickhacks #shorts #ytshorts,2024-02-05T22:50:59Z,6518269,141835,120,i found jason s observation very helpful in restating a truth i learned some years ago as my wife and i now together for years went through some times when you love someone trust can feel an awful lot like letting go,0,https://www.etsy.com/listing/1556368014/super-sale-busy-board-large-baby1th?click_key=7e6f96539bc350f5de1206c979557823411905e9%3A1556368014&click_sum=0dc104aa&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-6-1&pro=1&frs=1&cns=1,"SUPER SALE Busy Board Large Baby,1th Birthday Gift,Fast Shipping,Montessori Toddler Busy Board,Busy Board Gift,Activity Board,Toddler Gift",$225.00+,"Jan 20, 2024",ASUS,X515EA-EJ342WS,Core i3,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹33,990"
